amfi_code,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,fund_score
100016,0.023168434686413164,-0.2015170675596694,-0.35104746015230903,0.035008020122776796,0.004843355020744264,-0.24734440880673303,37.0,35.0,39.0,27.650000000000002
100025,0.03912652604315703,-0.5670947928476847,-0.9418212366054207,0.04333049544115674,-0.0034221767263396346,-0.04308263824636349,36.0,39.0,38.0,28.15
100033,0.260740682788986,1.0936987435346308,1.8291339615146942,0.26875229141391044,0.02409659525974328,-0.16217208574644848,7.0,7.0,7.0,5.25
101206,0.20442729550832484,1.0272133278753697,1.7995628746984524,0.21465600456186984,-6.730818908692391e-05,-0.11291596329323073,12.0,9.0,13.0,8.45
101207,0.0695333570223926,0.1626607692864677,0.27664379626092334,0.11024955018619279,-0.02358822885898298,-0.3544691649336603,27.0,28.0,27.0,20.5
101208,0.05705734207350055,-0.8155673679088278,-1.6810378667512837,0.06085212112251844,0.00012587504716301363,-0.0016224980244717857,32.0,40.0,33.0,26.200000000000003
102885,0.1587882255741997,0.8170993373494368,1.4357420130649492,0.17094095164685527,-0.007555188223630707,-0.1085986215250232,18.0,16.0,19.0,13.2
102886,0.010303498015576507,-0.20583160785470314,-0.34722230254727277,0.03194911544827528,-0.030680122817594857,-0.2800112356639287,40.0,36.0,40.0,29.0
102887,0.146781096489218,0.6195175900829828,1.0887552508030014,0.16106251568117863,0.011217405044515622,-0.21539827112383225,20.0,22.0,20.0,15.5
118632,0.2088111809083788,1.0816591793457044,1.8501325468557264,0.2157852505239689,0.01615659515806825,-0.17414075086657232,11.0,8.0,12.0,7.7
118633,0.14188358083768593,0.6452074382933215,1.1544757169236237,0.15755299358545502,-0.01608648663914648,-0.18629743138595511,22.0,21.0,22.0,16.25
118634,0.14274127320122987,0.4484340089089914,0.7460146308533572,0.17568123177332165,0.01801235144289967,-0.2334488614483311,21.0,26.0,17.0,16.200000000000003
118635,0.13914386506748544,0.6648569985490619,1.137976718780742,0.15065271641931977,0.0047839346917738605,-0.1165062450540909,23.0,19.0,23.0,16.25
118636,0.046639279794601585,-0.356629507514368,-0.6135251287271027,0.051060743722708336,-0.0019685309804787507,-0.08316361763638702,35.0,38.0,35.0,27.0
119092,0.055825550357928355,0.030784850954585913,0.05257398559304797,0.06701143712338227,0.016382992455286165,-0.1440161790933726,33.0,31.0,31.0,23.849999999999998
119093,0.06917406025598449,0.12961449795669325,0.22108683979276347,0.08091817265695568,0.01583015501459122,-0.21751396370148224,28.0,29.0,28.0,21.25
119094,0.24445308534360555,0.9982309868636414,1.7037974802463003,0.2627316899588547,-0.028728622961125532,-0.20960883862039192,9.0,11.0,9.0,7.249999999999999
119095,0.013376247776951455,-0.07597357117478923,-0.12818559275851932,0.04875277581131942,-0.020067492788233516,-0.5167775370852656,39.0,33.0,37.0,27.35
119120,0.051644356698553606,-0.22657538662791596,-0.3767670081706672,0.05606050670324881,-0.0003508255447426253,-0.04328728923970093,34.0,37.0,34.0,26.25
119551,0.22384873172214603,1.2082665673727175,2.140267129061793,0.23454374664870614,-0.025189498642974633,-0.1501238549864533,10.0,4.0,10.0,6.0
119552,0.18713118910689763,0.9532794968660103,1.609776489628308,0.20047597382446736,-0.018618719456253627,-0.11803493502764295,15.0,12.0,15.0,10.5
119598,0.28033223731546975,0.9453082575156093,1.6753165700125516,0.303144867465332,-0.0035080093727523575,-0.2870600572176455,2.0,14.0,1.0,4.3
119599,0.01805621440370042,-0.05718662582817997,-0.09438726129459607,0.049328065524053666,0.010072663601756614,-0.5257422117012851,38.0,32.0,36.0,26.599999999999998
120503,0.16355566129520227,0.7979728586052847,1.3379431500669237,0.1755417235928387,0.0018104631368765268,-0.13897862823061635,17.0,17.0,18.0,12.95
120504,0.20234028033314222,1.0265242847993004,1.8052937940992548,0.21609064980413412,-0.026139233988137504,-0.12588275606922517,13.0,10.0,11.0,8.600000000000001
120505,0.2837676208804263,1.1801011976606495,2.0293529404657464,0.29508521272984833,-0.01745379302502904,-0.18188513572116294,1.0,5.0,3.0,2.1500000000000004
120506,0.1488859671244569,0.6488787755249532,1.0958951614736467,0.1600230125795732,0.027298914610087533,-0.1982565826298267,19.0,20.0,21.0,14.899999999999999
120507,0.06341690270358713,0.4957233929533124,1.0521238822609293,0.06751273831066396,-0.00046135564097556954,-0.0009773140045925555,29.0,23.0,30.0,20.45
120841,0.1181544242649819,0.49427253786723496,0.8625738849916581,0.13270798966179026,-0.008324367260956683,-0.1757361416468729,24.0,24.0,25.0,18.2
120842,0.05873842419478348,0.07599984804658917,0.12469346986475664,0.080481558797897,-0.013501034947778528,-0.24003511326274884,31.0,30.0,29.0,22.599999999999998
120843,0.2674249401072899,1.3067439695428407,2.364320032166718,0.27321125754709386,-0.004369886433639482,-0.1297396816518679,6.0,2.0,5.0,3.3
120844,0.060604313665645115,-0.08874729621557331,-0.1877230477424232,0.0646054190026635,-0.00043750586414993285,-0.0011629327956168556,30.0,34.0,32.0,23.9
125497,0.16555918956858906,0.7757902498211207,1.3306512447571366,0.1776220377104348,0.008449617960571604,-0.15200013055606398,16.0,18.0,16.0,12.5
125498,0.09880199138430035,0.3006119210425478,0.508812819716923,0.11764356212760835,0.01812498906781678,-0.21117279560132118,26.0,27.0,26.0,19.75
148567,0.2679927700697151,1.4482911703262595,2.385644373368818,0.2691067256955176,0.010472156175636847,-0.11265729075028275,5.0,1.0,6.0,2.95
148568,0.1956595954624316,0.9262873467360146,1.6327409778735162,0.20841945067406478,-0.00359652367980826,-0.1527259422823477,14.0,15.0,14.0,10.75
148569,0.2762985997578453,1.2349300257743296,2.1469139263460555,0.2808029988427154,0.017641274616014262,-0.1639674294693263,4.0,3.0,4.0,2.75
149322,0.11695026862847113,0.4640374492204777,0.7621288703723165,0.13307516786532644,-0.010532478260407641,-0.14844576917771746,25.0,25.0,24.0,18.55
149323,0.256118065778393,1.1321218524747245,1.875101063919208,0.26573261554511396,0.0012594990971762044,-0.17248105753451382,8.0,6.0,8.0,5.5
149324,0.2791743018490922,0.9497958246616031,1.619793176491409,0.2958210599599487,0.03666692667132804,-0.31171900300634214,3.0,13.0,2.0,4.550000000000001
